region	models_params	dm_method	lag	predictors_dict	selected_predictors	recall. mean	precision. mean	fscore. mean	recall. std	precision. std	fscore. std	K-Fscores
LeftMotor	{'strategy': 'stratified', 'random_state': None}	None	6	{'speech_left_ts': ['IPU_left']}	['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3']	0.5020833333333333	0.5940880376792479	0.5249314874166794	0.022648731564546432	0.045453064292645465	0.02670945671315666	0.4882246376811594,0.5018115942028986,0.46557971014492755,0.5009057971014492,0.5335144927536232,0.473731884057971,0.5190217391304348,0.4855072463768116,0.519927536231884,0.532608695652174
RightMotor	{'strategy': 'stratified', 'random_state': None}	None	6	{'speech_left_ts': ['IPU_left']}	['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3']	0.5019927536231884	0.5899022022877851	0.5250574127994969	0.013037186485740624	0.03142927590085636	0.016501864482436696	0.4891304347826087,0.5163043478260869,0.5054347826086957,0.4773550724637681,0.49818840579710144,0.5081521739130435,0.5181159420289855,0.5172101449275363,0.5009057971014492,0.4891304347826087
LeftFusiformGyrus	{'strategy': 'stratified', 'random_state': None}	None	6	{'energy_ts': ['mouth_AU', 'eyes_AU', 'total_AU', 'head_rotation_energy', 'head_translation_energy', 'head_positions']}	['mouth_AU_t6', 'mouth_AU_t5', 'mouth_AU_t4', 'mouth_AU_t3', 'eyes_AU_t6', 'eyes_AU_t5', 'eyes_AU_t4', 'eyes_AU_t3', 'total_AU_t6', 'total_AU_t5', 'total_AU_t4', 'total_AU_t3', 'head_rotation_energy_t6', 'head_rotation_energy_t5', 'head_rotation_energy_t4', 'head_rotation_energy_t3', 'head_translation_energy_t6', 'head_translation_energy_t5', 'head_translation_energy_t4', 'head_translation_energy_t3', 'head_positions_t6', 'head_positions_t5', 'head_positions_t4', 'head_positions_t3']	0.5065217391304347	0.5949642777422025	0.5309783441688036	0.015493102719728482	0.06164364946073121	0.026850696714228173	0.5108695652173914,0.5090579710144928,0.5144927536231884,0.5217391304347826,0.4945652173913043,0.5108695652173914,0.5081521739130435,0.46467391304347827,0.5135869565217391,0.5172101449275363
LeftSTS	{'strategy': 'stratified', 'random_state': None}	None	6	{'speech_ts': ['IPU', 'disc_IPU', 'Overlap', 'ReactionTime', 'FilledBreaks', 'Feedbacks', 'Discourses', 'Particles', 'Laughters', 'LexicalRichness1', 'LexicalRichness2', 'Polarity', 'Subjectivity', 'UnionSocioItems']}	['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3', 'disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3', 'Overlap_t6', 'Overlap_t5', 'Overlap_t4', 'Overlap_t3', 'ReactionTime_t6', 'ReactionTime_t5', 'ReactionTime_t4', 'ReactionTime_t3', 'FilledBreaks_t6', 'FilledBreaks_t5', 'FilledBreaks_t4', 'FilledBreaks_t3', 'Feedbacks_t6', 'Feedbacks_t5', 'Feedbacks_t4', 'Feedbacks_t3', 'Discourses_t6', 'Discourses_t5', 'Discourses_t4', 'Discourses_t3', 'Particles_t6', 'Particles_t5', 'Particles_t4', 'Particles_t3', 'Laughters_t6', 'Laughters_t5', 'Laughters_t4', 'Laughters_t3', 'LexicalRichness1_t6', 'LexicalRichness1_t5', 'LexicalRichness1_t4', 'LexicalRichness1_t3', 'LexicalRichness2_t6', 'LexicalRichness2_t5', 'LexicalRichness2_t4', 'LexicalRichness2_t3', 'Polarity_t6', 'Polarity_t5', 'Polarity_t4', 'Polarity_t3', 'Subjectivity_t6', 'Subjectivity_t5', 'Subjectivity_t4', 'Subjectivity_t3', 'UnionSocioItems_t6', 'UnionSocioItems_t5', 'UnionSocioItems_t4', 'UnionSocioItems_t3']	0.4989130434782609	0.6375201437309529	0.5370349050456554	0.01456503713205927	0.04275792661229968	0.017767963362938975	0.4963768115942029,0.4945652173913043,0.5090579710144928,0.519927536231884,0.483695652173913,0.4791666666666667,0.5054347826086957,0.48097826086956524,0.49728260869565216,0.5226449275362319
RightSTS	{'strategy': 'uniform', 'random_state': None}	None	6	{'speech_ts': ['IPU', 'disc_IPU', 'Overlap', 'ReactionTime', 'FilledBreaks', 'Feedbacks', 'Discourses', 'Particles', 'Laughters', 'LexicalRichness1', 'LexicalRichness2', 'Polarity', 'Subjectivity', 'UnionSocioItems']}	['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3', 'disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3', 'Overlap_t6', 'Overlap_t5', 'Overlap_t4', 'Overlap_t3', 'ReactionTime_t6', 'ReactionTime_t5', 'ReactionTime_t4', 'ReactionTime_t3', 'FilledBreaks_t6', 'FilledBreaks_t5', 'FilledBreaks_t4', 'FilledBreaks_t3', 'Feedbacks_t6', 'Feedbacks_t5', 'Feedbacks_t4', 'Feedbacks_t3', 'Discourses_t6', 'Discourses_t5', 'Discourses_t4', 'Discourses_t3', 'Particles_t6', 'Particles_t5', 'Particles_t4', 'Particles_t3', 'Laughters_t6', 'Laughters_t5', 'Laughters_t4', 'Laughters_t3', 'LexicalRichness1_t6', 'LexicalRichness1_t5', 'LexicalRichness1_t4', 'LexicalRichness1_t3', 'LexicalRichness2_t6', 'LexicalRichness2_t5', 'LexicalRichness2_t4', 'LexicalRichness2_t3', 'Polarity_t6', 'Polarity_t5', 'Polarity_t4', 'Polarity_t3', 'Subjectivity_t6', 'Subjectivity_t5', 'Subjectivity_t4', 'Subjectivity_t3', 'UnionSocioItems_t6', 'UnionSocioItems_t5', 'UnionSocioItems_t4', 'UnionSocioItems_t3']	0.4963768115942029	0.6408283110130065	0.5344623993830009	0.02061957126558754	0.030797336032508643	0.017921268695338912	0.4628623188405797,0.5072463768115942,0.5036231884057971,0.5036231884057971,0.5253623188405797,0.463768115942029,0.4927536231884058,0.5,0.5235507246376812,0.48097826086956524
RightFusiformGyrus	{'strategy': 'stratified', 'random_state': 5}	None	6	{'energy_ts': ['mouth_AU', 'eyes_AU', 'total_AU', 'head_rotation_energy', 'head_translation_energy', 'head_positions']}	['mouth_AU_t6', 'mouth_AU_t5', 'mouth_AU_t4', 'mouth_AU_t3', 'eyes_AU_t6', 'eyes_AU_t5', 'eyes_AU_t4', 'eyes_AU_t3', 'total_AU_t6', 'total_AU_t5', 'total_AU_t4', 'total_AU_t3', 'head_rotation_energy_t6', 'head_rotation_energy_t5', 'head_rotation_energy_t4', 'head_rotation_energy_t3', 'head_translation_energy_t6', 'head_translation_energy_t5', 'head_translation_energy_t4', 'head_translation_energy_t3', 'head_positions_t6', 'head_positions_t5', 'head_positions_t4', 'head_positions_t3']	0.5035326086956522	0.5906889085303495	0.527606340385988	0.01999925335982924	0.0654125256117377	0.016375573250016862	0.5362318840579711,0.5371376811594203,0.4891304347826087,0.4954710144927536,0.4746376811594203,0.4945652173913043,0.5181159420289855,0.4846014492753623,0.49818840579710144,0.5072463768115942
